Archivo,Primer Umbral Superado,Segundo Umbral Superado,Inversa
236,9.828e-07,0.000151909062,6625.752117282278
237,3.628e-07,0.000147640758,6789.882298612533
238,4.90052683e-05,0.000211833473,6141.442152742718
239,4.76650521e-05,0.000206766402,6285.30179428729
240,3.628e-07,0.000137222808,7306.736384232859
241,4.59384454e-05,0.000197966348,6577.739894439615
242,4.57152131e-05,0.000194130818,6737.835961884087
243,3.628e-07,0.000127507337,7865.064623264153
244,3.628e-07,0.000124423856,8060.547219588395
245,3.628e-07,0.00012141157,8261.133095363133
246,4.18750248e-05,0.000177155968,7392.024156141454
247,3.628e-07,0.000115577944,8679.414574181324
248,3.628e-07,0.000112766143,8896.532552417058
249,3.96099196e-05,0.000165997746,7912.154425657565
250,3.428e-07,0.000107376526,9342.849561268195
251,3.428e-07,0.000104765979,9576.417894728143
252,3.74576773e-05,0.000155269877,8488.08529631418
253,1.1028e-06,0.000100479164,10062.754962538174
254,3.60633807e-05,0.000148431625,8899.3114222752
255,3.53971024e-05,0.000145230104,9104.73159644578
256,3.428e-07,9.26019463e-05,10839.033744668413
257,3.428e-07,9.03407541e-05,11111.363697099865
258,1.2728e-06,8.90490326e-05,11392.605610644538
259,3.428e-07,8.59596988e-05,11679.937185484696
260,3.22257348e-05,0.000130103033,10216.873763276804
261,3.16231824e-05,0.000127163414,10466.79480730922
262,3.10364064e-05,0.000124543202,10694.409893776749
263,3.04565612e-05,0.000121712853,10958.148531737732
264,3.528e-07,7.58804663e-05,13240.181366493513
265,3.528e-07,7.40149939e-05,13575.484886555898
266,2.91424094e-05,0.00011423008,11752.584045942844
267,2.82297809e-05,0.000111382623,12026.047152993222
