time,v(n0),v(n1),v(n2),v(n3),v(n4),v(n5),v(n6),v(n7),v(n8),v(n9)
4.32697084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318735e-01,3.14318734e-01,3.14318779e-01,3.14318780e-01
4.32797084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318734e-01,3.14318779e-01,3.14318779e-01
4.32897084e-05,3.14318732e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.32997084e-05,3.14318731e-01,3.14318898e-01,3.14318816e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.33097084e-05,3.14318731e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318969e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.33197084e-05,3.14318730e-01,3.14318899e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318734e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.33297084e-05,3.14318731e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318898e-01,3.14318734e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
4.33397084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318779e-01,3.14318780e-01
4.33497084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318779e-01,3.14318780e-01
4.33597084e-05,3.14318732e-01,3.14318899e-01,3.14318817e-01,3.14318898e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318734e-01,3.14318778e-01,3.14318780e-01
4.33697084e-05,3.14318732e-01,3.14318899e-01,3.14318816e-01,3.14318899e-01,3.14318970e-01,3.14318899e-01,3.14318734e-01,3.14318735e-01,3.14318778e-01,3.14318779e-01
4.33797084e-05,3.14318732e-01,3.14318898e-01,3.14318817e-01,3.14318899e-01,3.14318970e-01,3.14318898e-01,3.14318735e-01,3.14318735e-01,3.14318779e-01,3.14318779e-01
