v(vpre),time
3.52027252e-01,2.39165000e-06
3.52025397e-01,2.39175000e-06
3.52026385e-01,2.39185000e-06
3.52024558e-01,2.39195000e-06
3.52025575e-01,2.39205000e-06
3.52023777e-01,2.39215000e-06
3.52024823e-01,2.39225000e-06
3.52023054e-01,2.39235000e-06
3.52024128e-01,2.39245000e-06
3.52022388e-01,2.39255000e-06
3.52023491e-01,2.39265000e-06
3.52021781e-01,2.39275000e-06
3.52022913e-01,2.39285000e-06
3.52021231e-01,2.39295000e-06
3.52022393e-01,2.39305000e-06
3.52020741e-01,2.39315000e-06
3.52021932e-01,2.39325000e-06
3.52020310e-01,2.39335000e-06
3.52021530e-01,2.39345000e-06
3.52019938e-01,2.39355000e-06
3.52021188e-01,2.39365000e-06
3.52019626e-01,2.39375000e-06
3.52020906e-01,2.39385000e-06
3.52019374e-01,2.39395000e-06
3.52020684e-01,2.39405000e-06
3.52019183e-01,2.39415000e-06
3.52020522e-01,2.39425000e-06
3.52019052e-01,2.39435000e-06
3.52020422e-01,2.39445000e-06
3.52018982e-01,2.39455000e-06
3.52020383e-01,2.39465000e-06
3.52018974e-01,2.39475000e-06
3.52020406e-01,2.39485000e-06
3.52019028e-01,2.39495000e-06
3.52020490e-01,2.39505000e-06
3.52019144e-01,2.39515000e-06
3.52020637e-01,2.39525000e-06
3.52019322e-01,2.39535000e-06
3.52020846e-01,2.39545000e-06
3.52019563e-01,2.39555000e-06
3.52021119e-01,2.39565000e-06
3.52019867e-01,2.39575000e-06
3.52021455e-01,2.39585000e-06
3.52020235e-01,2.39595000e-06
3.52021854e-01,2.39605000e-06
3.52020667e-01,2.39615000e-06
3.52022318e-01,2.39625000e-06
3.52021163e-01,2.39635000e-06
3.52022846e-01,2.39645000e-06
3.52021723e-01,2.39655000e-06
3.52023439e-01,2.39665000e-06
3.52022349e-01,2.39675000e-06
3.52024097e-01,2.39685000e-06
3.52023040e-01,2.39695000e-06
3.52024821e-01,2.39705000e-06
3.52023797e-01,2.39715000e-06
3.52025611e-01,2.39725000e-06
3.52024620e-01,2.39735000e-06
3.52026467e-01,2.39745000e-06
3.52025510e-01,2.39755000e-06
3.52027390e-01,2.39765000e-06
3.52026466e-01,2.39775000e-06
3.52028380e-01,2.39785000e-06
3.52027490e-01,2.39795000e-06
3.52029437e-01,2.39805000e-06
3.52028582e-01,2.39815000e-06
3.52030563e-01,2.39825000e-06
3.52029741e-01,2.39835000e-06
3.52031756e-01,2.39845000e-06
3.52030969e-01,2.39855000e-06
3.52033019e-01,2.39865000e-06
3.52032266e-01,2.39875000e-06
3.52034350e-01,2.39885000e-06
3.52033633e-01,2.39895000e-06
3.52035751e-01,2.39905000e-06
3.52035069e-01,2.39915000e-06
3.52037222e-01,2.39925000e-06
3.52036575e-01,2.39935000e-06
3.52038763e-01,2.39945000e-06
3.52038151e-01,2.39955000e-06
3.52040375e-01,2.39965000e-06
3.52039799e-01,2.39975000e-06
3.52042058e-01,2.39985000e-06
3.52041518e-01,2.39995000e-06
3.52043813e-01,2.40005000e-06
3.52043309e-01,2.40015000e-06
3.52045640e-01,2.40025000e-06
3.52045172e-01,2.40035000e-06
3.52047539e-01,2.40045000e-06
3.52047107e-01,2.40055000e-06
3.52049511e-01,2.40065000e-06
3.52049116e-01,2.40075000e-06
3.52051556e-01,2.40085000e-06
3.52051198e-01,2.40095000e-06
3.52053675e-01,2.40105000e-06
3.52053354e-01,2.40115000e-06
3.52055868e-01,2.40125000e-06
3.52055585e-01,2.40135000e-06
3.52058136e-01,2.40145000e-06
3.52057890e-01,2.40155000e-06
3.52060479e-01,2.40165000e-06
3.52060271e-01,2.40175000e-06
3.52062897e-01,2.40185000e-06
3.52062728e-01,2.40195000e-06
3.52065392e-01,2.40205000e-06
3.52065260e-01,2.40215000e-06
3.52067963e-01,2.40225000e-06
3.52067870e-01,2.40235000e-06
3.52070610e-01,2.40245000e-06
3.52070556e-01,2.40255000e-06
3.52073335e-01,2.40265000e-06
3.52073320e-01,2.40275000e-06
3.52076138e-01,2.40285000e-06
3.52076162e-01,2.40295000e-06
3.52079020e-01,2.40305000e-06
3.52079083e-01,2.40315000e-06
3.52081980e-01,2.40325000e-06
3.52082083e-01,2.40335000e-06
3.52085019e-01,2.40345000e-06
3.52085162e-01,2.40355000e-06
3.52088138e-01,2.40365000e-06
3.52088321e-01,2.40375000e-06
3.52091337e-01,2.40385000e-06
3.52091561e-01,2.40395000e-06
3.52094617e-01,2.40405000e-06
3.52094881e-01,2.40415000e-06
3.52097978e-01,2.40425000e-06
3.52098283e-01,2.40435000e-06
3.52101421e-01,2.40445000e-06
3.52101767e-01,2.40455000e-06
3.52104946e-01,2.40465000e-06
3.52105334e-01,2.40475000e-06
3.52108554e-01,2.40485000e-06
3.52108983e-01,2.40495000e-06
3.52112245e-01,2.40505000e-06
3.52112716e-01,2.40515000e-06
3.52116020e-01,2.40525000e-06
3.52116533e-01,2.40535000e-06
3.52119879e-01,2.40545000e-06
3.52120435e-01,2.40555000e-06
3.52123823e-01,2.40565000e-06
3.52124421e-01,2.40575000e-06
3.52127852e-01,2.40585000e-06
3.52128493e-01,2.40595000e-06
3.52131967e-01,2.40605000e-06
3.52132651e-01,2.40615000e-06
3.52136168e-01,2.40625000e-06
3.52136896e-01,2.40635000e-06
3.52140456e-01,2.40645000e-06
3.52141228e-01,2.40655000e-06
3.52144832e-01,2.40665000e-06
3.52145648e-01,2.40675000e-06
3.52149295e-01,2.40685000e-06
3.52150156e-01,2.40695000e-06
3.52153848e-01,2.40705000e-06
3.52154752e-01,2.40715000e-06
3.52158489e-01,2.40725000e-06
3.52159439e-01,2.40735000e-06
3.52163220e-01,2.40745000e-06
3.52164215e-01,2.40755000e-06
3.52168041e-01,2.40765000e-06
3.52169081e-01,2.40775000e-06
3.52172953e-01,2.40785000e-06
3.52174039e-01,2.40795000e-06
3.52177956e-01,2.40805000e-06
